,,,,,,,,,,,,,,,,,,,,,QT 2000 MPN,,QT-51 WELL MPN,
,,,,,,Human,,Birds,,Dog,Muskrat,Ruminants,Acrobacter,Salmonella,Campylobacter,Enteroccocus ,STX1,STX2,Culture Arco,,TC Colilert ,EC Colilert,Enterolert,10 mL FC
,,,,,,HF183,HumM2,CGO1,LeeSg,Dog3,MuBac,Rum2bac,Abutz hsp60,InvA,VD16S,Calibrator ,Shigatoxin 1,Shigatoxin 2,,,total coliforms,E. Coli,,thermotolerant colifroms
Date Sampled,Week ,Pond,Location,Sample ID,Rainfall,Copies per 100 ml,,,,,,,,,,Cell Eqivalents (CCEs),,,,,,,,fecal coliforms
,,Not avail.,Not avail.,Blank Week 5,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,none detected,No,No,,,,,,
,Special Investigation Week 5,Not avail.,Not avail.,Blank Special Investigation,,not detected,not detected,,,,,,,,,none detected,,,,,,,,
,,McCall Lake,MH501,13957,,40416,DNQ,,,,,,,,,68550,,,,,,,,
,,McCall Lake,MH537,13958,,13482,2038.8,,,,,,,,,1895,,,,,,,,
June 15 2017,week 6 ,McCall Lake,Outfall ML1,39413,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,2652,not detected,not detected,355,No,No,,,613,2,5,<10
,,McCall Lake,Outfall ML2,39414,,21084,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,1164,No,No,,,more than 2419.6,2210,59,190
,,Country Hills,Outfall WP31D,39415,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,427,No,No,,,1553,162,66,90
,,Inverness,Outfalls/inlet,39416,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,92131.8,not detected,not detected,4809,No,No,,,more than 2419.6,49,201,60
,,McCall Lake,Inlet PR60,39417,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,4758,not detected,not detected,911,No,Yes - CT 37,,,more than 2419.6,15,38,10
,,Inverness,Outfall WP26B,39418,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,DNQ,not detected,not detected,420,No,No,,,921,7,11,50
,,McCall Lake,Inlet 3/4,39419,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,350,No,No,,,more than 2419.6,16,3,30
,,Inverness,Outfall WP26C,39420,,DNQ,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,549,No,No,,,more than 2419.6,38,165,60
,,Country Hills,Outfall WP31E,39421,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,272,No,No,,,1733,84,25,70
,,Inverness,outfall WP26D,39422,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,470,No,No,,,866,30,19,10
,,Country Hills,Outfall WP31A,39423,,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,not detected,175,No,No,,,more than 2419.6,8,9,10
